"","X","Title","Artist","ConstituentID","ArtistBio","Nationality","BeginDate","EndDate","Gender","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","ObjectID","URL","ThumbnailURL","Circumference..cm.","Depth..cm.","Diameter..cm.","Height..cm.","Length..cm.","Weight..kg.","Width..cm.","Seat.Height..cm.","Duration..sec.."
"1710",74656,"The Cart","Eugene Berman","502","American, born Russia. 1899–1972","American","1899","1972","Male","1930","Oil on composition board","45 1/2 x 35 1/2"" (115.6 x 90.2 cm)","James Thrall Soby Bequest","1201.1979","Painting","Painting & Sculpture","1979-12-11","Y",80583,"http://www.moma.org/collection/works/80583","http://www.moma.org/media/W1siZiIsIjIwOTU3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7c669c2aeb820111",NA,NA,NA,115.6,NA,NA,90.2,NA,NA
"1711",74657,"Memory of Ischia","Eugene Berman","502","American, born Russia. 1899–1972","American","1899","1972","Male","1931","Oil on canvas","40 x 31 3/4"" (101.4 x 80.5 cm)","James Thrall Soby Bequest","1202.1979","Painting","Painting & Sculpture","1979-12-11","Y",80584,"http://www.moma.org/collection/works/80584","http://www.moma.org/media/W1siZiIsIjIwOTU3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e4585ec3362c6176",NA,NA,NA,101.4,NA,NA,80.5,NA,NA
"1712",74658,"Key West Beach","Peter Blume","617","American, 1906–1992","American","1906","1992","Male","1940","Oil on canvas","12 x 18"" (30.3 x 46 cm)","James Thrall Soby Bequest","1203.1979","Painting","Painting & Sculpture","1979-12-11","Y",80585,"http://www.moma.org/collection/works/80585","http://www.moma.org/media/W1siZiIsIjIwOTU3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=62039764db9a5584",NA,NA,NA,30.3,NA,NA,46,NA,NA
"1713",74659,"Grapes","Pierre Bonnard","665","French, 1867–1947","French","1867","1947","Male","1928","Oil on canvas","16 5/8 x 18 3/8"" (42.2 x 46.4 cm)","James Thrall Soby Bequest","1204.1979","Painting","Painting & Sculpture","1979-12-11","Y",80586,"http://www.moma.org/collection/works/80586","http://www.moma.org/media/W1siZiIsIjY2MTg1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=2137564ffebea186",NA,NA,NA,42.2,NA,NA,46.4,NA,NA
"1714",74660,"The Enigma of a Day","Giorgio de Chirico","1106","Italian, born Greece. 1888–1978","Italian","1888","1978","Male","Paris, early 1914","Oil on canvas","6' 1 1/4"" x 55"" (185.5 x 139.7 cm)","James Thrall Soby Bequest","1211.1979","Painting","Painting & Sculpture","1979-12-11","Y",80587,"http://www.moma.org/collection/works/80587","http://www.moma.org/media/W1siZiIsIjE1MDk5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=28a0c1e28dafd62e",NA,NA,NA,185.5,NA,NA,139.7,NA,NA
"1715",74661,"The Duo","Giorgio de Chirico","1106","Italian, born Greece. 1888–1978","Italian","1888","1978","Male","Paris, winter 1914-15","Oil on canvas","32 1/4 x 23 1/4"" (81.9 x 59 cm)","James Thrall Soby Bequest","1213.1979","Painting","Painting & Sculpture","1979-12-11","Y",80588,"http://www.moma.org/collection/works/80588","http://www.moma.org/media/W1siZiIsIjE1MDk5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=460469ee74e8de75",NA,NA,NA,81.9,NA,NA,59,NA,NA
"1716",74662,"The Seer","Giorgio de Chirico","1106","Italian, born Greece. 1888–1978","Italian","1888","1978","Male","Paris, winter 1914-15","Oil on canvas","35 1/2 x 27 1/2"" (89.6 x 70.1 cm)","James Thrall Soby Bequest","1214.1979","Painting","Painting & Sculpture","1979-12-11","Y",80589,"http://www.moma.org/collection/works/80589","http://www.moma.org/media/W1siZiIsIjE1MDk5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bdc309dc9d998627",NA,NA,NA,89.6,NA,NA,70.1,NA,NA
"1717",74663,"The Amusements of a Young Girl","Giorgio de Chirico","1106","Italian, born Greece. 1888–1978","Italian","1888","1978","Male","late 1915","Oil on canvas","18 3/4 x 16"" (47.5 x 40.3 cm)","James Thrall Soby Bequest","1215.1979","Painting","Painting & Sculpture","1979-12-11","Y",80590,"http://www.moma.org/collection/works/80590","http://www.moma.org/media/W1siZiIsIjMyMzE4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a343757c1b7e8bb0",NA,NA,NA,47.5,NA,NA,40.3,NA,NA
"1718",74664,"The Faithful Servitor","Giorgio de Chirico","1106","Italian, born Greece. 1888–1978","Italian","1888","1978","Male","1916 or 1917","Oil on canvas","15 1/8 x 13 5/8"" (38.2 x 34.5 cm)","James Thrall Soby Bequest","1216.1979","Painting","Painting & Sculpture","1979-12-11","Y",80591,"http://www.moma.org/collection/works/80591","http://www.moma.org/media/W1siZiIsIjE1MDk5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=85a2985f580c20db",NA,NA,NA,38.2,NA,NA,34.5,NA,NA
"1719",74665,"Debris of an Automobile Giving Birth to a Blind Horse Biting a Telephone","Salvador Dalí","1364","Spanish, 1904–1989","Spanish","1904","1989","Male","1938","Oil on canvas","21 1/2 x 25 5/8"" (54.5 x 65.1 cm)","James Thrall Soby Bequest","1218.1979","Painting","Painting & Sculpture","1979-12-11","Y",80592,"http://www.moma.org/collection/works/80592","http://www.moma.org/media/W1siZiIsIjE1OTE4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b5a25b8085926b05",NA,NA,NA,54.5,NA,NA,65.1,NA,NA
"1720",74666,"My Cart, My Garden","Jean Dubuffet","1633","French, 1901–1985","French","1901","1985","Male","June 1955","Oil on canvas","35 1/8 x 45 3/4"" (89.2 x 115.9 cm)","James Thrall Soby Bequest","1219.1979","Painting","Painting & Sculpture","1979-12-11","Y",80593,"http://www.moma.org/collection/works/80593","http://www.moma.org/media/W1siZiIsIjE2ODYwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3ceeec056a34a5fc",NA,NA,NA,89.2,NA,NA,115.9,NA,NA
"1721",74667,"Coffee Thyme","Sam Gilliam","2161","American, born 1933","American","1933","0","Male","1977","Synthetic polymer paint and cut canvas on canvas","7' 6 1/2"" x 9' 2"" (229.7 x 279.3 cm)","David Rockefeller Fund","1223.1979","Painting","Painting & Sculpture","1979-12-11","Y",80594,"http://www.moma.org/collection/works/80594","http://www.moma.org/media/W1siZiIsIjE2NjgxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=26ef04d8c83257df",NA,NA,NA,229.7,NA,NA,279.3,NA,NA
"1722",74668,"Comet","Ron Gorchov","2245","American, born 1930","American","1930","0","Male","1974","Oil on canvas","62 1/2"" x 6' 3 1/2"" x 17"" (158.2 x 191.8 x 43.1 cm)","Gift of Mr. and Mrs. Gifford Phillips","1224.1979","Painting","Painting & Sculpture","1979-12-11","Y",80595,"http://www.moma.org/collection/works/80595","http://www.moma.org/media/W1siZiIsIjI5ODcwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ffd24b312a06fef3",NA,43.1,NA,158.2,NA,NA,191.8,NA,NA
"1723",74669,"Mussel Gatherers at High Tide","Leonid (Leonid Berman)","3487","American, born Russia. 1896–1976","American","1896","1976","Male","1937","Oil on canvas","21 1/4 x 31 7/8"" (54 x 81 cm)","James Thrall Soby Bequest","1228.1979","Painting","Painting & Sculpture","1979-12-11","Y",80596,"http://www.moma.org/collection/works/80596","http://www.moma.org/media/W1siZiIsIjE2ODYwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f8d62262c9c6e804",NA,NA,NA,54,NA,NA,81,NA,NA
"1724",74670,"The Quarriers","Leonid (Leonid Berman)","3487","American, born Russia. 1896–1976","American","1896","1976","Male","1930","Oil on canvas","10 3/4 x 16 1/4"" (27.1 x 41.4 cm)","James Thrall Soby Bequest","1229.1979","Painting","Painting & Sculpture","1979-12-11","Y",80597,"http://www.moma.org/collection/works/80597","http://www.moma.org/media/W1siZiIsIjE2ODYwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8d3f4569819200f6",NA,NA,NA,27.1,NA,NA,41.4,NA,NA
"1725",74671,"Tree","Loren MacIver","3668","American, 1909–1998","American","1909","1998","Female","1945","Oil on canvas","40 x 26"" (101.5 x 66 cm)","James Thrall Soby Bequest","1231.1979","Painting","Painting & Sculpture","1979-12-11","Y",80598,"http://www.moma.org/collection/works/80598","http://www.moma.org/media/W1siZiIsIjE3MDk3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1f9ed7ce111000a6",NA,NA,NA,101.5,NA,NA,66,NA,NA
"1726",74672,"Skylight","Loren MacIver","3668","American, 1909–1998","American","1909","1998","Female","1948","Oil on canvas","40 1/4 x 48 1/8"" (102 x 122.1 cm)","James Thrall Soby Bequest","1232.1979","Painting","Painting & Sculpture","1979-12-11","Y",80599,"http://www.moma.org/collection/works/80599","",NA,NA,NA,102,NA,NA,122.1,NA,NA
"1727",74673,"Think","William Copley","1238","American, 1919–1996","American","1919","1996","Male","1964","Oil on canvas","25 5/8 x 32"" (65.1 x 81 cm)","Gift of Miss Jeanne Reynal","1233.1964","Painting","Painting & Sculpture","1964-12-08","Y",80600,"http://www.moma.org/collection/works/80600","http://www.moma.org/media/W1siZiIsIjgwNzQ2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=44a33d0b7addbebd",NA,NA,NA,65.1,NA,NA,81,NA,NA
"1728",74674,"Martigues","André Derain","1500","French, 1880–1954","French","1880","1954","Male","1908-09","Oil on canvas","32 x 25 5/8"" (81.2 x 65.1 cm)","Mrs. George Hamlin Shaw and Loula D. Lasker Funds","1234.1964","Painting","Painting & Sculpture","1964-12-08","Y",80601,"http://www.moma.org/collection/works/80601","",NA,NA,NA,81.2,NA,NA,65.1,NA,NA
"1729",74675,"Here, Sir Fire, Eat!","Roberto Matta","3842","Chilean, 1911–2002","Chilean","1911","2002","Male","1942","Oil on canvas","56 1/8 x 44 1/8"" (142.3 x 112 cm)","James Thrall Soby Bequest","1235.1979","Painting","Painting & Sculpture","1979-12-11","Y",80602,"http://www.moma.org/collection/works/80602","http://www.moma.org/media/W1siZiIsIjE1MDk5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fc9f1adfd05ab543",NA,NA,NA,142.3,NA,NA,112,NA,NA
